# Automatically generated by Experiment2Impl.java
# <numDevices> <avg latency> <avg-stddev> <avg+stddev>
2 702.000000 434.299795 969.700205
3 1123.780000 744.932258 1502.627742
4 984.060000 675.253626 1292.866374
5 1014.160000 607.647547 1420.672453
6 1153.520000 827.646820 1479.393180
7 1553.540000 1071.965906 2035.114094
